"","schids","ctyids","frame","subsample","fall","pla01","pla01a","pla01b","pla02","pla03","pla03a","pla04","pla05","pla06","pla07","pla08","pla09","pla09a","pla10","pla11a","pla11b","pla1201","pla1202","pla1203","pla1204","pla1205","pla1206","pla1207","pla1208","pla1209","pla1210","pla13","pla14","pla15","pla16","pla17","pla18","pla19","pla20","pla2101","pla2102","pla2103","pla2104","pla2105","pla2106","pla2107","pla22","pla22b","pla23","pla23flag","pla24","pla2501","pla2502","pla2503","pla2504","pla2505","pla2506","pla2507","pla26","pla27","plb0101a","plb0101b","plb0102a","plb0102b","plb0103a","plb0103b","plb02","plb0301a","plb0301b","plb0302a","plb0302b","plb0303a","plb0303b","plb04","plb0501","plb0502","plb0503","plb06","plb07","plb08","plb09","plb1001","plb1002","plb1003","plb1101","plb1102","plb1103","plb1201","plb1202","plb1203","plb1204","plb1205","plb1206","plb1301a","plb1301b","plb1301c","plb1302a","plb1302b","plb1302c","plb1303a","plb1303b","plb1303c","plb1401","plb1402","plb1403","plb1404","plb1405","plc0101a","plc0101b","plc0102","plc0103","plc0104","plc0105","plc0106","plc0107","plc0201","plc0202","plc0203","plc0301","plc0302","plc0303","plc0401a","plc0402a","plc0403a","plc0403b","plc0404a","plc0404b","plc0405a","plc0405b","plc0501","plc0502","plc0503","plc0504","plc0505","plc0506","plc0601","plc0602","plc07","plc07a","plc08","plc09","plc10","plc1101","plc1102","plc1103","plc1104","plc11040","plc1105","plc12","plc12a","plc13","pld01","pld0201","pld0202","pld0203","pld0204","pld0205","pld0206","pld0301","pld0302","pld0303","pld0304","pld0305","pld0306","pld0307","pld0308","pld04","pld04a","pld05","pld06","pld0701a","pld0701b","pld0701c","pld0702a","pld0702b","pld0702c","pld0703a","pld0703b","pld0703c","pld0704a","pld0704b","pld0704c","pld0705a","pld0705b","pld0705c","pld0706a","pld0706b","pld0706c","pld0801","pld0801a","pld0802","pld0802a","pld0803","pld0803a","pld0804","pld0804a","pld0805","pld0806","pld0901","pld0901a","pld0902","pld0902a","pld0903","pld0903a","pld0904","pld0904a","pld0905","pld0906","ple0101","ple0102","ple0201a1","ple0201a2","ple0201b1","ple0201b2","ple0202a1","ple0202a2","ple0202b1","ple0202b2","ple0301a","ple0301b","ple0302a","ple0302b","ple04","ple05","ple0601a1","ple0601a2","ple0601b1","ple0601b2","ple0602a1","ple0602a2","ple0602b1","ple0602b2","ple07","ple0800","ple0801","ple0802","ple0803","ple0804","ple0901","ple0902","ple0903","ple0904","ple0905","ple0906","ple10","ple1101","ple1102","ple1103","ple1104","ple1105","ple1106","ple1107","ple1108","ple12","ple13","ple14","ple1501","ple1502","ple1503","ple1504","ple16","ple17","ple1801","ple1802","ple1803","ple1804","ple1805","ple19","ple20","ple21","ple2201","ple2202","ple2203","ple2301","ple2302","ple2303","ple2304","ple2305","ple2306","ple2401","ple2402","ple2403","ple2404","ple2405","ple2406","ple2501","ple2502","ple2503","ple2601a","ple2601b","ple2601c","ple2602a","ple2602b","ple2602c","ple2603a","ple2603b","ple2603c","ple2604a","ple2604b","ple2604c","ple2605a","ple2605b","ple2605c","ple27","ple27a","ple2801","ple2802","ple2803","plf01","plf02","plf03","plf04","plf05","plf06","plf07","plf08","plf08a","plf09","plf09a","plf10","plf10a","plf11","plf12","plf13","plf1401","plf1402","plf1403","plf1404","plf1405","plf1406","plf1407","plf1501","plf1502","plf1503","plf1504","plf1505","plf1506","plf1507","plf1601","plf1602","plf1603","plf1604","plf1605","schhkplace","schhkplace_4c","schhktype","schhktype_4c","schstlb","schstlb_4c","schtype_4c","schtype_2c","schrank_5c","schrank_3c","schbrd","schloc_5c","schloc_3c","schat","schat_3c","ctyedu","ctyeduz","ctyeduc","ctytype","ctyplace","random_even_placement"
"11",45,12,1,1,1,1,NA,NA,2,1,2000,5,2,2000,1,2,1,NA,2,80,8,3,3,3,3,3,3,3,3,2,1,52,60,4,256,72000,850,1,3,NA,NA,100,NA,NA,NA,NA,2,NA,1,0,4,1,1,0,0,0,1,1,2,1,12,758,12,736,12,762,3,90,2,10,2,0,NA,1,3,3,3,2,2,3,3,2,5,3,3,5,2,2,1,2,2,2,3,0,1,3,NA,8,13,1,14,8,2,4,4,4,4,145,57,145,1,1,21,"22：1","16:1",2,2,2,3,31,111,0,0,7,7,135,135,3,3,0,0,34,51,60,0,90000,70000,2,NA,4,1,1,0,0,0,0,"",1,1,NA,NA,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,NA,1,2,0,0,NA,0,0,NA,50,50,NA,0,0,NA,360,360,NA,NA,NA,NA,1,NA,0,NA,1,2008,0,NA,0,0,1,NA,0,NA,1,2008,0,NA,0,0,5,5,7,20,17,0,7,20,17,0,7,45,7,45,1,2,18,0,20,40,18,0,20,40,1,0,0,0,1,0,2,3,1,1,2,1,15,1,2,1,1,1,1,2,1,1,4,1,0,0,1,0,2,5,1,1,0,0,0,2,1,2,1,2,1,1,0,0,1,0,0,2,1,1,2,2,2,1,1,0,730,NA,NA,342,NA,NA,114,NA,NA,274,NA,NA,0,NA,NA,2,NA,1,1,3,2,2009,1,1968,2,6,1,1,1991,2,NA,1,18,22,5,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0.983805656433105,4,0.356275290250778,2,0.186234816908836,2,1,1,5,3,2,1,1,10,2,8.46,-0.173394352197647,1,3,1,1
"12",46,12,1,1,1,1,NA,NA,2,2,NA,4,3,1959,1,1,1,NA,2,70,6,3,3,3,3,3,3,3,3,3,3,26,60,NA,60,2e+05,500,1,3,60,30,10,0,0,0,0,2,NA,2,0,7,1,1,0,1,1,1,0,2,2,5,190,6,272,7,262,NA,99,2,1,2,0,2,2,1,1,2,2,2,3,3,2,3,4,2,1,5,1,1,1,2,1,1,0,2,3,0,3,2,0,0,0,3,2,2,3,3,109,56,105,4,4,1,"6:1","7：1",2,2,2,3,20,85,0,0,0,0,104,0,1,0,1,2,11,75,20,0,1e+05,90000,2,NA,4,1,1,0,0,0,0,"",1,1,10,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,NA,0,0,NA,0,0,NA,1500,1500,NA,0,0,NA,NA,NA,NA,1,2009,0,NA,1,2004,0,NA,0,0,1,2009,0,NA,1,2004,0,NA,0,0,1.5,1.5,7,30,16,40,7,30,17,30,7,45,7,45,1,1,18,30,20,20,18,30,20,30,NA,1,0,0,0,0,1,2,1,1,1,1,20,1,1,1,1,1,1,1,1,3,4,1,0,0,1,0,1,5,0,1,0,0,0,2,1,2,1,1,1,1,0,0,0,0,0,4,4,4,4,3,3,1,0,0,360,4,NA,100,0,NA,120,0,NA,120,0,NA,25,0,NA,1,2000,3,3,3,2,2012,1,1976,1,6,1,1,1999,2,NA,1,14,15,5,6,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0.941176474094391,4,0.690789461135864,3,0.281045764684677,2,1,1,4,2,2,2,2,8,1,8.46,-0.173394352197647,1,3,1,1
"13",47,12,1,1,1,1,NA,NA,2,2,NA,4,3,1952,1,2,1,250,1,120,7,3,3,2,2,2,2,2,3,2,1,42,57,4,400,82098,750,1,3,NA,97,NA,NA,NA,NA,3,2,NA,1,0,2,1,0,1,1,1,0,0,2,1,14,850,14,870,14,880,1,100,2,0,2,0,2,2,3,3,3,2,1,3,3,2,1,3,3,2,5,2,1,2,2,2,2,0,4,8,0,5,9,0,3,4,3,3,4,3,4,181,70,165,0,1,0,"20:1","15:1",1,1,1,1,3,161,0,NA,17,NA,145,NA,3,NA,0,0,11,107,47,0,92800,81000,2,NA,4,1,1,0,0,0,0,"",1,1,15,2,3,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,NA,4,2,0,0,NA,0,0,NA,50,50,NA,170,170,NA,320,320,NA,0,0,NA,1,2009,0,NA,1,2008,0,NA,0,0,1,2009,0,NA,1,2008,0,NA,0,1,5,5,7,30,17,0,7,30,17,0,7,45,7,45,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,3,3,1,1,3,1,10,2,1,1,1,1,1,1,1,3,4,1,1,0,1,0,1,4,1,1,0,0,0,3,2,3,1,1,1,0,0,0,0,1,0,3,2,3,2,3,2,1,1,0,870,NA,9,398,NA,9,203,NA,9,270,NA,9,NA,NA,9,3,NA,9,9,9,2,NA,1,1962,1,5,1,1,1992,2,NA,1,6,28,24,18,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0.933333337306976,4,0.523622035980225,2,0.219607844948769,2,1,1,4,2,1,1,1,9,2,8.46,-0.173394352197647,1,3,1,1
"14",48,12,1,1,1,1,NA,NA,2,2,NA,4,2,1956,2,1,1,400,2,140,8,3,3,2,2,2,2,2,3,3,1,21,45,2,104,30100,850,1,3,NA,NA,100,NA,NA,NA,NA,2,NA,4,0,7,1,1,0,1,1,1,1,3,3,6,240,6,293,8,369,1,90,2,5,2,5,2,1,2,2,2,1,1,3,2,1,2,3,3,1,2,1,1,1,1,1,1,1,1,1,9,11,3,7,17,4,4,2,1,3,4,79,36,79,3,3,2,"14.5:1","11.4:1",3,3,3,4,7,68,NA,NA,12,12,66,66,1,1,2,0,12,52,13,0,6,5,2,NA,4,1,1,0,0,0,0,"",1,1,10,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,2,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,10,10,NA,1,2007,0,NA,1,2003,1,2009,0,0,1,2007,0,NA,1,2003,1,2009,0,0,5,5,6,40,17,15,6,40,17,15,8,45,8,45,1,2,18,0,20,30,18,0,21,0,1,1,0,0,0,0,3,2,2,2,1,2,20,1,3,1,1,1,1,3,1,3,4,3,0,0,1,0,1,4,1,0,0,0,0,2,1,2,1,1,1,1,0,0,0,0,0,3,2,2,4,1,2,1,1,0,369,42,NA,85,7,NA,111,8,NA,84,7,NA,89,20,NA,1,2000,3,3,3,2,2008,1,1967,1,6,1,1,1996,2,NA,1,20,25,5,3,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0.947976887226105,4,0.705202341079712,3,0.277456641197205,2,1,1,4,2,2,4,3,12,2,8.46,-0.173394352197647,1,3,1,1
"15",49,13,1,3,0,1,NA,NA,2,1,1991,4,2,1988,1,1,1,250,2,42,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,50,4,120,35520,830,1,3,NA,0,100,NA,NA,NA,NA,2,NA,4,0,7,1,1,0,1,1,0,0,2,1,8,361,8,380,10,343,1,93,3,4,2,3,1,1,1,2,1,1,1,3,3,3,2,1,2,3,1,2,1,1,1,1,1,NA,NA,2,NA,16,4,NA,37,1,4,3,2,3,4,101,52,100,1,3,0,"16：1","10.7：1",1,1,1,1,11,89,NA,2,12,12,84,84,3,3,2,NA,20,56,23,NA,88500,72000,2,NA,4,1,1,0,0,0,0,"",1,1,2,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,NA,200,200,NA,NA,NA,NA,1,2008,0,NA,1,2005,0,NA,0,0,1,2008,0,NA,0,NA,0,NA,0,0,0.5,0.5,7,0,16,30,7,0,16,30,7,45,7,45,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,4,2,1,1,1,35,1,2,2,1,1,1,2,2,3,4,1,1,0,1,1,2,4,1,1,0,0,0,3,1,2,1,1,1,1,0,0,0,0,0,3,2,2,2,1,1,0,0,1,290,33,NA,8,NA,NA,73,9,NA,209,24,NA,NA,NA,NA,1,2008,2,3,3,1,2010,1,1971,1,7,1,1,1999,2,NA,1,15,19,4,17,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0.874172210693359,3,0.872483193874359,4,0.342105269432068,3,1,1,4,2,2,4,3,12,2,8.58,-0.0915991887450218,1,4,1,1
"16",51,13,1,3,0,1,NA,NA,2,1,1995,4,2,1995,2,2,1,300,2,88,10,3,3,3,3,3,3,3,3,1,1,36,40,4,140,56167,750,1,3,NA,NA,100,NA,NA,NA,NA,2,NA,4,0,7,1,0,0,1,0,1,0,2,1,11,450,11,424,10,365,1,68,2,11,2,21,2,1,3,3,3,2,1,4,4,1,2,3,2,3,5,1,1,1,1,1,2,0,2,1,0,8,2,0,5,4,3,3,3,3,3,115,44,115,2,1,0,"14：1","10.7：1",1,1,1,0,1,114,0,0,27,24,87,81,1,0,1,0,21,73,19,0,93000,73000,2,NA,4,1,1,0,0,0,0,"",1,1,NA,1,3,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,4,1,2,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,200,200,NA,NA,NA,NA,1,NA,0,NA,1,NA,0,NA,0,0,1,NA,0,NA,0,NA,0,NA,0,0,5,5,7,50,16,30,7,50,16,30,7,45,7,45,1,1,18,0,20,40,18,0,20,40,1,1,0,0,0,0,2,2,2,2,2,2,10,1,2,2,1,1,1,1,1,3,4,1,0,0,1,0,2,5,1,0,0,0,0,2,1,2,1,1,1,1,1,0,0,0,0,3,3,1,2,1,1,1,0,0,426,82,NA,20,0,NA,360,40,NA,42,40,NA,NA,2,NA,1,2014,3,3,3,1,2010,1,1963,3,5,1,1,1997,2,NA,1,24,30,15,17,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0.771812081336975,3,0.824324309825897,4,0.134228184819221,2,1,1,4,2,2,4,3,10,2,8.58,-0.0915991887450218,1,4,1,1
"17",57,15,1,1,1,1,NA,NA,2,1,NA,5,2,1973,1,1,1,200,2,100,8,3,3,3,3,3,3,3,2,1,1,55,54,4,180,1e+05,750,1,3,80,0,20,0,0,0,0,2,NA,1,0,2,1,0,0,1,1,1,0,2,1,10,501,10,499,8,336,3,79,2,12,2,9,2,2,3,3,3,2,2,3,3,1,2,6,1,2,3,2,2,2,2,2,2,5,5,3,2,1,7,0,2,6,3,3,3,3,3,115,94,115,0,8,46,"16：1","11.6：1",1,1,1,0,3,112,0,0,12,12,101,101,2,2,0,0,36,62,17,0,66000,36000,2,NA,3,1,2,0,0,0,0,"",1,1,62,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,1,2010,0,NA,0,0,0,NA,0,NA,1,2010,0,NA,0,0,5,5,7,30,17,0,7,30,17,0,7,45,7,45,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,2,1,1,2,1,5,1,1,2,1,1,1,1,1,1,4,1,0,0,1,0,2,5,1,1,0,0,0,4,2,2,1,1,1,1,0,0,1,0,0,3,2,2,2,2,2,1,0,0,340,NA,NA,190,NA,NA,26,NA,NA,102,NA,NA,22,NA,NA,1,1979,3,3,3,1,2010,1,1964,1,6,1,1,1986,2,NA,1,24,27,27,10,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0.818181812763214,3,0.407582938671112,2,0.20853079855442,2,1,1,5,3,2,1,1,9,2,8.2,-0.350617229938507,1,4,1,1
"18",58,15,1,1,1,1,NA,NA,2,1,1999,4,2,1978,1,1,1,280,2,70,6,2,2,2,2,1,2,2,2,1,1,30,50,3,90,220000,550,1,3,90,0,10,0,0,0,0,2,NA,2,0,2,1,0,0,1,1,0,0,2,1,10,510,10,486,8,346,3,96,NA,3,NA,1,NA,1,1,2,1,2,2,2,2,3,2,1,3,2,5,1,1,2,1,1,2,1,2,3,1,3,5,4,2,1,4,4,3,4,4,108,47,108,0,2,5,"1081：84","1342：108",2,1,1,1,1,106,0,1,8,8,95,95,4,4,NA,NA,10,78,20,0,50000,30000,2,NA,4,1,1,0,0,0,0,"",1,1,2,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,1,2,0,0,NA,105,105,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,0,NA,1,2008,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,1,0,5,5,7,30,16,30,7,30,17,20,7,40,8,40,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,2,1,1,1,1,30,1,2,1,1,1,2,1,1,3,4,1,0,0,1,0,2,5,1,1,0,0,0,4,2,2,1,1,1,1,0,0,1,0,0,2,3,2,2,2,2,1,0,0,308,2,NA,84,0,NA,108,6,NA,99,13,NA,0,0,NA,1,2011,3,3,3,2,2004,1,1963,1,6,1,1,1996,2,NA,1,22,31,25,29,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0.811224460601807,3,0.411167502403259,2,0.228426396846771,2,1,1,4,2,2,2,2,10,2,8.2,-0.350617229938507,1,4,1,1
"19",59,15,1,1,1,1,NA,NA,2,2,NA,4,3,1969,2,2,1,200,2,34,NA,3,3,3,3,2,3,3,3,1,1,15,50,4,50,21572,750,4,3,80,NA,20,0,0,0,0,2,NA,4,0,7,1,0,0,0,0,0,0,2,1,4,163,4,195,4,193,1,100,2,0,NA,0,NA,3,3,3,2,2,2,3,3,1,3,2,1,NA,NA,1,1,1,1,1,1,0,2,1,5,1,2,11,3,0,4,1,1,1,1,57,32,57,0,0,0,"13：1","11：1",2,2,3,1,0,56,0,0,0,0,5,51,1,1,0,0,30,23,4,0,50000,40000,2,NA,4,1,1,0,0,0,0,"",1,1,56,1,2,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,NA,1,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,NA,1,2006,1,NA,1,1998,0,NA,0,0,1,NA,1,NA,1,NA,0,NA,0,0,0.5,0.5,7,50,5,5,7,50,5,5,7,45,7,45,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,3,4,1,0,0,1,0,2,5,1,1,0,0,0,3,1,2,1,1,1,0,0,0,0,0,1,2,2,2,3,2,3,1,0,0,228,4,NA,36,0,NA,45,0,NA,98,0,NA,0,0,NA,1,NA,3,3,3,1,2011,1,1973,1,6,1,1,2001,2,NA,1,17,20,3,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0.931034505367279,4,0.847953200340271,4,0.235632181167603,2,1,1,4,2,2,4,3,8,1,8.2,-0.350617229938507,1,4,1,1
"20",60,15,1,1,1,1,NA,NA,2,1,NA,4,3,1978,1,2,1,200,2,20,9,2,3,2,2,1,2,3,3,1,1,11,45,4,50,1200,750,1,3,0,0,95,0,0,0,5,2,NA,5,0,7,1,0,0,0,0,0,0,1,1,2,90,3,102,3,95,NA,NA,2,98,2,2,2,2,3,3,3,2,2,2,2,2,3,1,3,2,1,2,2,1,1,2,2,0,0,1,2,0,2,2,1,1,4,3,1,2,4,30,16,30,3,0,1,"426：36","300：30",1,1,2,5,4,21,NA,NA,NA,2,NA,28,NA,0,0,1,8,15,1,0,NA,35000,2,NA,3,1,2,0,0,0,0,"",1,1,25,2,4,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,NA,1,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,2009,0,NA,1,2008,1,2009,0,0,1,2009,0,NA,1,2008,1,2009,0,0,0.5,0.5,7,30,4,35,7,30,4,35,7,45,7,45,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,2,1,2,1,2,15,2,2,2,1,1,1,1,1,3,4,1,0,0,1,0,2,4,1,0,0,0,0,3,NA,2,1,1,1,0,0,0,1,1,0,3,3,3,3,3,3,1,1,0,124,6,NA,20,1,NA,26,3,NA,14,0,NA,4,1,NA,1,NA,3,3,3,1,2009,1,1966,1,6,1,1,1996,2,NA,1,25,29,21,4,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0.959999978542328,4,0.806451618671417,4,0.387096762657166,3,1,1,4,2,2,5,3,11,2,8.2,-0.350617229938507,1,4,1,1
"21",61,16,1,1,1,1,NA,NA,2,2,NA,5,2,1942,1,2,1,400,2,80,10,3,3,3,3,2,2,3,3,1,1,106,50,3,420,110000,560,4,3,5,5,80,0,5,5,NA,2,NA,2,0,2,1,0,0,1,1,1,0,3,2,8,520,8,530,8,480,3,98,2,2,2,0,2,1,9,9,9,2,2,4,4,4,3,5,9,9,9,9,9,9,9,9,9,NA,NA,0,NA,NA,6,NA,NA,3,2,3,3,2,3,89,36,89,2,2,5,"9：1","12：1",1,1,1,16,52,31,0,0,29,29,79,77,1,0,NA,3,19,49,38,0,24000,30000,1,2005,4,1,1,0,0,0,0,"",1,1,8,1,3,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,NA,4,2,0,NA,9,0,NA,9,0,NA,9,0,NA,9,0,NA,9,0,NA,9,1,2009,0,NA,1,2001,0,NA,0,0,0,NA,0,NA,0,NA,0,NA,0,1,5,6,7,20,16,30,7,20,16,30,7,45,7,45,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,3,2,2,2,2,30,1,2,2,1,1,1,1,1,4,4,3,0,0,1,0,2,5,1,0,0,0,0,3,2,2,2,1,1,1,0,0,1,0,0,3,3,3,2,2,3,1,0,0,432,NA,9,236,NA,9,161,NA,9,33,NA,9,2,NA,9,3,NA,9,9,9,2,2006,1,1969,1,7,1,1,1987,2,NA,1,19,26,16,20,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0.97857141494751,4,0.460431665182114,2,0.371428579092026,3,1,1,5,3,2,2,2,10,2,8.33,-0.262005776166916,1,4,2,1
"22",63,16,1,1,1,1,NA,NA,2,2,NA,4,3,1949,2,2,1,400,2,16,8,3,2,2,2,2,2,2,2,1,1,15,52,3,40,19000,700,1,3,NA,NA,100,NA,NA,NA,NA,2,NA,4,0,6,1,0,0,0,0,0,0,2,1,3,158,3,186,3,157,1,100,2,NA,NA,NA,NA,2,3,3,3,1,2,4,3,1,3,4,3,2,4,2,2,2,2,2,2,6,1,2,21,2,3,4,0,0,4,4,2,2,4,65,48,64,1,1,5,"14：1","7：1",1,2,1,0,5,60,0,1,25,24,39,39,0,0,0,1,20,31,13,0,39076,35368,2,NA,4,1,1,0,0,0,0,"",1,1,4,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1,2,0,0,9,0,0,9,0,0,9,0,0,9,0,0,9,0,0,9,1,2005,0,NA,1,2011,0,NA,0,0,1,2005,0,NA,1,2011,0,NA,0,0,5,7,6,50,16,35,6,50,16,35,7,45,7,45,1,1,18,0,20,35,18,0,21,0,1,1,0,0,0,0,1,3,1,2,1,3,10,1,2,1,1,1,2,1,1,3,4,2,0,0,1,0,1,4,1,0,0,0,0,4,2,2,2,2,2,0,0,0,0,1,0,2,2,1,1,1,1,0,1,0,136,NA,9,52,NA,9,9,NA,9,3,NA,9,0,NA,9,1,NA,3,3,3,2,2013,1,1973,1,5,1,1,2002,2,NA,1,18,18,13,2,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0.985221683979034,4,0.819999992847443,4,0.507389187812805,4,1,1,4,2,2,4,3,10,2,8.33,-0.262005776166916,1,4,2,1
"23",65,17,1,1,1,1,NA,NA,2,2,NA,4,3,1977,1,2,1,200,3,0,NA,3,3,3,3,NA,2,1,2,1,1,42,50,4,180,82389,900,1,2,NA,NA,90,NA,10,NA,NA,2,NA,1,0,2,1,1,0,1,1,1,1,2,1,14,674,14,721,14,664,3,92,1,8,1,0,1,3,NA,NA,NA,1,2,3,3,5,2,4,5,2,4,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,4,130,38,129,18,1,0,"14：1","14：1",1,1,1,2,13,115,0,1,NA,11,NA,117,NA,1,2,0,36,50,42,0,61900,48520,1,2003,4,1,2,0,0,0,0,"",1,1,8,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,NA,4,2,NA,NA,NA,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,1,NA,0,NA,0,0,0,NA,0,NA,1,NA,0,NA,0,0,5,5,7,40,5,10,7,40,5,10,8,45,8,45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,1,2,2,1,10,1,2,2,1,1,1,1,1,1,3,1,0,0,1,0,2,5,1,0,0,0,0,3,1,2,2,2,2,1,0,0,1,0,0,3,2,4,4,4,4,1,1,0,647,NA,NA,165,NA,NA,306,NA,NA,161,NA,NA,15,NA,NA,3,NA,9,9,9,1,2012,1,1974,1,5,1,1,2000,2,NA,1,7,7,1,15,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0.736559152603149,3,0.281767964363098,2,0.0860215052962303,1,1,1,4,2,3,1,1,10,2,10.67,1.33299994468689,3,2,1,1
"24",66,17,1,1,1,1,NA,NA,1,2,NA,5,3,2008,1,2,1,400,2,100,6,3,3,3,3,3,3,3,3,3,1,30,50,4,120,106611,900,4,2,0,0,100,0,0,0,0,2,NA,2,0,1,1,1,0,0,1,1,0,3,1,10,417,8,411,8,420,2,100,2,0,NA,0,NA,3,NA,NA,NA,4,4,3,3,3,2,1,9,9,9,9,9,9,9,9,9,0,0,0,0,6,13,0,3,9,2,4,4,4,4,102,18,102,0,0,0,"1：16","1：12.5",3,3,2,12,28,62,NA,NA,NA,NA,84,84,16,16,NA,49,33,11,10,0,60000,42000,2,NA,4,1,1,0,0,0,0,"",1,1,12,1,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,NA,4,2,0,NA,9,135,NA,9,0,NA,9,0,NA,9,0,NA,9,0,NA,9,1,0,1,0,1,2008,1,0,0,1,0,NA,0,NA,0,NA,0,NA,0,1,0.5,0.5,7,50,4,30,7,50,5,0,6,45,7,45,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,2,1,1,1,1,1,20,1,1,1,1,1,1,1,1,3,3,1,0,0,1,0,2,5,1,1,1,0,0,2,1,2,1,1,1,0,0,0,0,0,1,3,3,3,4,2,2,1,0,0,539,NA,9,169,NA,9,211,NA,9,69,NA,9,NA,NA,9,1,2000,9,9,9,3,2012,1,1981,1,6,1,1,2004,2,NA,1,13,15,2,5,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0.635416686534882,2,0.387434542179108,2,0.11979166418314,2,1,1,5,3,2,2,2,8,1,10.67,1.33299994468689,3,2,1,1
